item,path,database_table,metadata_differences
Codex of Unimpeded Sight (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\codex-of-unimpeded-sight-greater.md,Grimoire,"traits: vault='grimoire, magical', db='Divination, Grimoire, Magical'"
Codex of Unimpeded Sight,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\codex-of-unimpeded-sight.md,Grimoire,"traits: vault='grimoire, magical', db='Divination, Grimoire, Magical'"
Cognitive Mutagen (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cognitive-mutagen-greater.md,Alchemical_Items,
Cognitive Mutagen (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cognitive-mutagen-lesser.md,Alchemical_Items,
Cognitive Mutagen (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cognitive-mutagen-major.md,Alchemical_Items,
Cognitive Mutagen (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cognitive-mutagen-moderate.md,Alchemical_Items,
Coin of Comfort,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\coin-of-comfort.md,Held_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Cold Comfort (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-comfort-greater.md,Alchemical_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='alchemical, cold, consumable', db='Alchemical, Cold, Consumable, Uncommon'"
Cold Comfort (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-comfort-lesser.md,Alchemical_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='alchemical, cold, consumable', db='Alchemical, Cold, Consumable, Uncommon'"
Cold Iron Armor (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-armor-high-grade.md,Armor_Material,"source: vault='gmcore', db='corerulebook'; page: vault='228', db='555'"
Cold Iron Armor (Low Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-armor-low-grade.md,Armor_Material,"source: vault='gmcore', db='corerulebook'; page: vault='228', db='555'"
Cold Iron Armor (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-armor-standard-grade.md,Armor_Material,"source: vault='gmcore', db='corerulebook'; page: vault='228', db='555'"
Cold Iron Blanch (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-blanch-greater.md,Alchemical_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='alchemical, consumable, precious', db='Alchemical, Consumable, Precious, Uncommon'"
Cold Iron Blanch (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-blanch-lesser.md,Alchemical_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='alchemical, consumable, precious', db='Alchemical, Consumable, Precious, Uncommon'"
Cold Iron Blanch (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-blanch-moderate.md,Alchemical_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='alchemical, consumable, precious', db='Alchemical, Consumable, Precious, Uncommon'"
Cold Iron Chunk,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-chunk.md,Materials,"level: vault='2', db='2.0'; source: vault='gmcore', db='corerulebook'; page: vault='253', db='578'"
Cold Iron Ingot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-ingot.md,Materials,"level: vault='2', db='2.0'; source: vault='gmcore', db='corerulebook'; page: vault='253', db='578'"
Cold Iron Shield (high Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-shield-high-grade.md,Shield_Material,"source: vault='gmcore', db='corerulebook'; page: vault='233', db='586'"
Cold Iron Shield (Low Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-shield-low-grade.md,Shield_Material,"source: vault='gmcore', db='corerulebook'; page: vault='233', db='586'"
Cold Iron Shield (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-shield-standard-grade.md,Shield_Material,"source: vault='gmcore', db='corerulebook'; page: vault='233', db='586'; bulk: vault='1', db='L'"
Cold Iron Weapon (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-weapon-high-grade.md,Weapon_Material,"source: vault='gmcore', db='corerulebook'; page: vault='240', db='599'"
Cold Iron Weapon (Low Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-weapon-low-grade.md,Weapon_Material,"source: vault='gmcore', db='corerulebook'; page: vault='240', db='599'"
Cold Iron Weapon (Stadard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cold-iron-weapon-standard-grade.md,Weapon_Material,"source: vault='gmcore', db='corerulebook'; page: vault='240', db='599'"
Collar of Empathy,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\collar-of-empathy.md,C_C_Structure,"source: vault='gmcore', db='corerulebook'; page: vault='272', db='64'; traits: vault='companion, invested, primal', db='Companion, Invested, Primal, Transmutation'"
Collar of Inconspicuousness,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\collar-of-inconspicuousness.md,C_C_Structure,"source: vault='gmcore', db='corerulebook'; page: vault='272', db='64'; traits: vault='companion, invested, primal', db='Companion, Invested, Primal, Transmutation'"
Collar of the Eternal Bond,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\collar-of-the-eternal-bond.md,C_C_Structure,"traits: vault='eidolon, invested, magical', db='Conjuration, Eidolon, Invested, Magical'"
Collar of the Shifting Spider,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\collar-of-the-shifting-spider.md,Alchemical_Items,
Collar,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Collar.md,Mundane,"level: vault='0', db='0.0'; page: vault='103', db='101'"
Colorful Coating (Blue),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-blue.md,Alchemical_Items,
Colorful Coating (Green),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-green.md,Alchemical_Items,
Colorful Coating (Indigo),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-indigo.md,Alchemical_Items,
Colorful Coating (Orange),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-orange.md,Alchemical_Items,
Colorful Coating (Red),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-red.md,Alchemical_Items,
Colorful Coating (Violet),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-violet.md,Alchemical_Items,
Colorful Coating (Yellow),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\colorful-coating-yellow.md,Alchemical_Items,
Combat Grapnel,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\combat-grapnel.md,Weapon_Basic,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='finesse, grapple, tethered, thrown-20', db='Finesse, Grapple, Tethered, Thrown 20 ft.'"
Combat Lure,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\combat-lure.md,Weapon_Basic,"traits: vault='finesse, tethered, thrown-20, training', db='Finesse, Tethered, Thrown 20 ft., Training'"
Comealong,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Comealong.md,Mundane,"level: vault='0', db='0.0'"
Communication Bangle,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\communication-bangle.md,Mundane,"level: vault='1', db='1.0'; source: vault='pathfindersocietyguide', db='pfsguide'"
Communication Pendants,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\communication-pendants.md,Worn_Items,"source: vault='specialfumbus', db='specialfumbuspg'; traits: vault='auditory, invested, magical', db='Auditory, Divination, Invested, Magical, Rare'"
Communion Mat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\communion-mat.md,Grimoire,"traits: vault='grimoire, magical', db='Divination, Grimoire, Magical'"
Compass (Lensatic),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\compass-lensatic.md,Mundane,"level: vault='3', db='3.0'"
Compass of Transpositional Awareness,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\compass-of-transpositional-awareness.md,Held_Items,"traits: vault='invested, magical, teleportation', db='Conjuration, Invested, Magical, Rare, Teleportation'"
Compass,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Compass.md,Mundane,"level: vault='0', db='0.0'"
Composer Staff (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\composer-staff-greater.md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Enchantment, Magical, Staff'"
Composer Staff (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\composer-staff-major.md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Enchantment, Magical, Staff'"
Composer Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\composer-staff.md,Staff_Wand,"traits: vault='magical, staff, two-hand-d8', db='Enchantment, Magical, Staff'"
Composite Longbow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\composite-longbow.md,Weapon_Basic,"level: vault='1', db='0'; traits: vault='deadly-d10, propulsive, volley-30', db='Deadly d10; Propulsive; Volley 30ft'"
Composite Shortbow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\composite-shortbow.md,Weapon_Basic,"level: vault='1', db='0'"
Comprehension Elixir (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\comprehension-elixir-greater.md,Alchemical_Items,
Comprehension Elixir (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\comprehension-elixir-lesser.md,Alchemical_Items,
Concealed Sheath,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\concealed-sheath.md,Mundane,"level: vault='3', db='3.0'"
Concealment Coin,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\concealment-coin.md,Mundane,"level: vault='0', db='0.0'"
Conch of Otherworldly Seas,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conch-of-otherworldly-seas.md,Held_Items,"traits: vault='magical, water', db='Magical, Uncommon, Water'"
Condensed Mana,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\condensed-mana.md,Alchemical_Items,"traits: vault='alchemical, consumable', db='Alchemical, Consumable, Rare'"
Conducting,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Conducting.md,Runes,
Conduit Shot (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conduit-shot-greater.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Conduit Shot (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conduit-shot-lesser.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Conduit Shot (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conduit-shot-moderate.md,Consumables,"traits: vault='consumable, magical', db='Consumable, Magical, Transmutation'"
Conflagration Club,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conflagration-club.md,Specific_Magic_Weapons,"traits: vault='backswing, magical, shove', db='Evocation, Magical'"
Conrasu Coin (Arbiter),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conrasu-coin-arbiter.md,Consumables,"rarity: vault='uncommon', db='Rare'; traits: vault='consumable, magical, talisman', db='Consumable, Divination, Magical, Rare, Talisman'"
Conrasu Coin (Bythos),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conrasu-coin-bythos.md,Consumables,"level: vault='10', db='1'; rarity: vault='uncommon', db='Rare'; traits: vault='consumable, magical, talisman', db='Conjuration, Consumable, Magical, Rare, Talisman, Teleportation'"
Constricting Meteor,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\constricting-meteor.md,Specific_Magic_Weapons,"traits: vault='backswing, disarm, magical, reach, trip', db='Magical, Uncommon'"
Constricting Whip Tail,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\constricting-whip-tail.md,Grafts,
Contagion Metabolizer (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\contagion-metabolizer-greater.md,Alchemical_Items,
Contagion Metabolizer (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\contagion-metabolizer-lesser.md,Alchemical_Items,
Contagion Metabolizer (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\contagion-metabolizer-moderate.md,Alchemical_Items,
Containment Contraption,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\containment-contraption.md,Specific_Magic_Armor,"traits: vault='bulwark, invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Conundrum Spectacles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conundrum-spectacles-greater.md,Worn_Items,"source: vault='specialfumbus', db='specialfumbuspg'; traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Conundrum Spectacles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\conundrum-spectacles.md,Worn_Items,"source: vault='specialfumbus', db='specialfumbuspg'; traits: vault='invested, magical', db='Divination, Invested, Magical, Uncommon'"
Cookware,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Cookware.md,Mundane,"level: vault='0', db='0.0'; page: vault='299', db='288'"
Cooling Elixir (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cooling-elixir-greater.md,Alchemical_Items,
Cooling Elixir (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cooling-elixir-lesser.md,Alchemical_Items,
Cooling Elixir (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cooling-elixir-moderate.md,Alchemical_Items,
Cooperative Blade,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cooperative-blade.md,Specific_Magic_Weapons,"traits: vault='magical, versatile-p', db='Divination, Magical, Unique'"
Cooperative Waffles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cooperative-waffles-greater.md,Alchemical_Items,
Cooperative Waffles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cooperative-waffles.md,Alchemical_Items,
Copper Penny,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\copper-penny.md,Consumables,"traits: vault='consumable, magical, talisman', db='Divine, Evocation, Magical, Talisman, Uncommon'"
Coral Armor,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\coral-armor.md,Armor_Basic,"level: vault='0', db='0.0'; page: vault='10', db='1'"
Cordelia's Construct Key,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cordelias-construct-key.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Conjuration, Invested, Magical, Transmutation, Uncommon'"
Coronet of Stars,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\coronet-of-stars.md,Worn_Items,"traits: vault='apex, invested, magical', db='Apex, Invested, Magical, Necromancy, Rare'"
Corpse Compass,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corpse-compass.md,Held_Items,"traits: vault='magical', db='Divination, Magical, Necromancy, Uncommon'"
Corpsecaller Round,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corpsecaller-round.md,Consumables,"traits: vault='consumable, magical, void', db='Consumable, Magical, Necromancy, Negative, Uncommon'"
Corpseward Pendant,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corpseward-pendant.md,Worn_Items,"traits: vault='invested, magical', db='Abjuration, Invested, Magical, Uncommon'"
Corrosive (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corrosive-(greater).md,Runes,"source: vault='gmcore', db='corerulebook'; page: vault='237', db='583'; traits: vault='acid, magical', db='Acid, Conjuration, Magical'"
Corrosive Ammunition,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corrosive-ammunition.md,Consumables,"traits: vault='consumable, magical', db='Acid, Consumable, Magical'"
Corrosive Engravings,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corrosive-engravings.md,Grimoire,"traits: vault='acid, grimoire, magical', db='Acid, Conjuration, Grimoire, Magical'"
Corrosive,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\Corrosive.md,Runes,"source: vault='gmcore', db='corerulebook'; page: vault='237', db='583'; traits: vault='acid, magical', db='Acid, Conjuration, Magical'"
Corruption Cassock,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corruption-cassock.md,Cursed,"page: vault='111', db='190'; traits: vault='cursed, divine, focused, intelligent, invested', db='Rare, No Alignment, Cursed, Divination, Divine, Focused, Intelligent, Invested'"
Corset Knife,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\corset-knife.md,Weapon_Basic,"traits: vault='agile, concealable, finesse, thrown-10', db='Agile, Concealable, Finesse, Thrown 10 ft.'"
Courtier's Pillow Book,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\courtiers-pillow-book.md,Grimoire,"traits: vault='grimoire, magical', db='Enchantment, Grimoire, Magical'"
Covenant Tea,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\covenant-tea.md,Consumables,"traits: vault='consumable, magical, potion, tea', db='Consumable, Enchantment, Magical, Potion, Tea, Uncommon'"
Cowl of Keys,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\C\cowl-of-keys.md,Worn_Items,"traits: vault='apex, invested, magical', db='Apex, Conjuration, Invested, Magical, Rare'"
